RESEMAVAL,DISBELIEF,RELATIVISM,SCEPTICISM,AGE,EDUCATION,DEFIANCE,ReligCountry
0.2775,0.055556,0.0,0.663333,50,0,0.0,Religious
0.2775,0.055556,0.0,0.663333,19,2,0.0,Religious
0.36,0.055556,0.0,0.663333,52,0,0.0,Religious
0.28088,0.055556,1.0,0.33,23,3,0.166667,Religious
0.354954,0.055556,1.0,0.22,22,1,0.166667,Religious
0.336713,0.055556,0.666667,0.33,50,2,0.166667,Religious
0.195787,0.0,0.333333,0.33,58,0,0.11,Religious
0.206019,0.166667,1.0,0.553333,60,1,0.0,Religious
0.418009,0.0,0.333333,0.663333,55,1,0.166667,Religious
0.202593,0.0,1.0,0.33,32,2,0.0,Religious
0.18,0.166667,0.0,0.44,45,2,0.166667,Religious
0.357269,0.166667,0.666667,0.22,35,0,0.276667,Religious
0.263333,0.277778,0.0,0.553333,30,0,0.166667,Religious
0.309352,0.0,0.666667,0.33,50,1,0.166667,Religious
0.542037,0.0,0.666667,0.44,28,2,0.0,Religious
0.434352,0.0,0.0,0.44,52,1,0.166667,Religious
0.235694,0.0,0.333333,0.21575,25,2,0.0,Religious
0.297917,0.166667,0.333333,0.44,28,2,0.0,Religious
0.296019,0.166667,0.333333,0.50813,23,0,0.0,Religious
0.31875,0.0,0.333333,0.0,30,2,0.103,Religious
0.290972,0.0,0.333333,0.22,35,0,0.0,Religious
0.263333,0.0,0.0,0.333333,24,6,0.0,Religious
0.499583,0.277778,0.0,0.663333,19,1,0.0,Religious
0.3325,0.055556,0.0,0.66,48,6,0.103,Religious
0.055,0.0,0.0,0.443333,34,2,0.166667,Religious
0.200833,0.055556,0.0,0.443333,30,2,0.103,Religious
0.455185,0.0,0.666667,0.33,23,6,0.386667,Religious
0.428889,0.11,0.0,0.33,70,1,0.0,Religious
0.293704,0.0,1.0,0.55,45,1,0.11,Religious
0.101574,0.166667,1.0,0.44,35,2,0.11,Religious
0.241944,0.277778,0.333333,0.44,18,2,0.11,Religious
0.373889,0.0,0.0,0.33,45,2,0.166667,Religious
0.449444,0.166667,0.0,0.55,26,0,0.0,Religious
0.274213,0.166667,0.666667,0.22,28,2,0.166667,Religious
0.166389,0.277778,0.0,0.44,28,2,0.11,Religious
0.414722,0.166667,0.0,0.55,40,0,0.0,Religious
0.371019,0.166667,0.333333,0.443333,36,2,0.276667,Religious
0.331667,0.277778,0.666667,0.33,19,3,0.166667,Religious
0.389537,0.611111,0.666667,0.33,36,0,0.166667,Secular
0.40125,0.166667,0.333333,0.22,40,1,0.0,Religious
0.245093,0.276667,0.666667,0.33,46,1,0.23005,Religious
0.408611,0.166667,0.666667,0.33,44,2,0.22,Religious
0.246435,0.0,0.333333,0.33,50,3,0.166667,Religious
0.440185,0.388889,0.666667,0.44,45,0,0.22,Secular
0.345694,0.078,0.666667,0.666667,30,4,0.11,Religious
0.258426,0.0,0.333333,0.666667,62,0,0.0,Religious
0.110833,0.166667,0.0,0.0,46,0,0.0,Religious
0.457083,0.222222,0.0,0.0,28,2,0.11,Religious
0.124583,0.166667,0.333333,0.0,25,1,0.0,Religious
0.318472,0.166667,0.333333,0.44,30,2,0.0,Religious
0.230926,0.166667,0.333333,0.44,35,1,0.11,Religious
0.281435,0.111111,0.666667,0.44,30,2,0.0,Religious
0.31039,0.0,0.333333,0.0,26,1,0.0,Religious
0.325833,0.055556,0.0,0.44,55,1,0.0,Religious
0.288519,0.055556,0.0,0.0,60,2,0.11,Religious
